"","Extraversion","Neuroticism","Agreeableness","Conscientiousness","Openness"
"E1",0.765,0.689,0.715,0.722,0.699
"E2",0.834,0.713,0.728,0.688,0.722
"E3",0.792,0.708,0.803,0.682,0.673
"E4",0.733,0.652,0.687,0.751,0.669
"E5",0.77,0.66,0.715,0.7,0.714
"E6",0.729,0.666,0.687,0.658,0.704
"E7",0.722,0.602,0.671,0.614,0.634
"E8",0.789,0.688,0.751,0.687,0.665
"E9",0.749,0.656,0.737,0.682,0.662
"E10",0.773,0.647,0.71,0.6,0.62
"N11",0.702,0.871,0.726,0.718,0.707
"N12",0.724,0.689,0.698,0.704,0.645
"N13",0.729,0.799,0.774,0.762,0.761
"N14",0.739,0.747,0.723,0.682,0.684
"N15",0.739,0.877,0.776,0.74,0.711
"N16",0.692,0.896,0.752,0.707,0.694
"N17",0.703,0.865,0.722,0.699,0.701
"N18",0.641,0.836,0.669,0.659,0.649
"N19",0.679,0.858,0.738,0.705,0.687
"N20",0.712,0.816,0.727,0.691,0.701
"A21",0.745,0.709,0.805,0.657,0.663
"A22",0.774,0.662,0.779,0.684,0.726
"A23",0.714,0.688,0.708,0.684,0.676
"A24",0.716,0.746,0.837,0.684,0.706
"A25",0.63,0.598,0.709,0.563,0.585
"A26",0.699,0.723,0.743,0.687,0.68
"A27",0.705,0.623,0.753,0.602,0.628
"A28",0.755,0.707,0.787,0.781,0.704
"A29",0.694,0.755,0.815,0.654,0.686
"A30",0.807,0.736,0.774,0.73,0.694
"C31",0.707,0.677,0.657,0.771,0.705
"C32",0.7,0.671,0.687,0.774,0.67
"C33",0.733,0.7,0.729,0.824,0.768
"C34",0.737,0.773,0.738,0.818,0.743
"C35",0.661,0.664,0.656,0.802,0.68
"C36",0.616,0.649,0.621,0.74,0.645
"C37",0.708,0.674,0.681,0.778,0.691
"C38",0.66,0.631,0.682,0.712,0.633
"C39",0.682,0.671,0.657,0.775,0.675
"C40",0.656,0.652,0.661,0.779,0.712
"O41",0.696,0.642,0.649,0.692,0.753
"O42",0.616,0.634,0.635,0.595,0.771
"O43",0.709,0.703,0.699,0.719,0.831
"O44",0.616,0.568,0.656,0.605,0.69
"O45",0.664,0.636,0.651,0.712,0.8
"O46",0.652,0.626,0.648,0.617,0.728
"O47",0.695,0.687,0.693,0.711,0.735
"O48",0.704,0.675,0.678,0.714,0.768
"O49",0.69,0.707,0.711,0.736,0.732
"O50",0.72,0.691,0.696,0.743,0.849
