"dataset","k","median_rmsr","normalized","improvement"
"0.6B",1,0.34474776283444,1,NA
"0.6B",2,0.282162163540338,0.81845973769478,0.18154026230522
"0.6B",3,0.228119799145444,0.661700593123197,0.191529451421887
"0.6B",4,0.196661264407189,0.570449718919952,0.137903570212239
"0.6B",5,0.169012465166731,0.490249635783414,0.140590976691834
"0.6B",6,0.14700606988405,0.42641631282941,0.130205752936459
"0.6B",7,0.132149451014141,0.383322142332809,0.101061261495033
"0.6B",8,0.120654777620198,0.349979871162037,0.0869823771928714
"0.6B",9,0.108262436647496,0.314033761256016,0.102709078058317
"0.6B",10,0.0951351292014186,0.275955755069267,0.121254498352186
"4B",1,0.322440760609096,1,NA
"4B",2,0.270450107308872,0.838759053904933,0.161240946095067
"4B",3,0.223123841977158,0.691983983525138,0.17499074340416
"4B",4,0.183369247668781,0.568691276259223,0.178172775961997
"4B",5,0.157055639509463,0.487083702484707,0.143500660518869
"4B",6,0.133914300887842,0.415314430579049,0.147344843482853
"4B",7,0.119077597099373,0.369300695341474,0.110792526937772
"4B",8,0.104501480413801,0.324095130579633,0.122408555770635
"4B",9,0.0942312743621437,0.292243679689067,0.09827809147765
"4B",10,0.0840235306374036,0.260585946015888,0.108326495569935
"8B",1,0.357932489441677,1,NA
"8B",2,0.303159261547623,0.846973299407684,0.153026700592316
"8B",3,0.235739752787201,0.658615129224289,0.222389738041471
"8B",4,0.197860828880761,0.552788122669154,0.160681104729218
"8B",5,0.168360787166342,0.470370229394267,0.149094906158493
"8B",6,0.144470025002586,0.40362367000531,0.141902176663926
"8B",7,0.127470374547443,0.356129656590488,0.117669049028262
"8B",8,0.111597807238202,0.311784513924061,0.124519656944547
"8B",9,0.0946847470100486,0.26453241827179,0.151553696678406
"8B",10,0.0815091280056925,0.227722071647743,0.139152497317839
"human",1,0.829345395702117,1,NA
"human",2,0.642785778244264,0.775051964567894,0.224948035432105
"human",3,0.467891208311224,0.564169296334141,0.272088424872678
"human",4,0.318262908590864,0.383751944895559,0.319792928489548
"human",5,0.136203511708059,0.164230141523545,0.572040888110048
"human",6,0.109339762378778,0.131838631944429,0.197232428095258
"human",7,0.0886899611652678,0.10693971610005,0.188859027715595
"human",8,0.0755802800955838,0.0911324527600447,0.147814712030993
"human",9,0.0646926028812237,0.0780044155504781,0.144054470300862
"human",10,0.0588792913223077,0.0709948974545894,0.0898605296433862
