"code","factor","MR4","MR1","MR3","MR2","MR5"
"E1","Extraversion",0.712,0.042,-0.01,-0.015,-0.012
"E2","Extraversion",0.713,0.086,0.053,-0.026,0.008
"E3","Extraversion",0.623,-0.189,0.179,0.061,-0.068
"E4","Extraversion",0.755,-0.023,-0.039,0.018,-0.027
"E5","Extraversion",0.714,0.012,0.123,0.067,0.034
"E6","Extraversion",0.522,0.005,0.073,0.01,0.235
"E7","Extraversion",0.721,-0.004,0.069,0.012,-0.019
"E8","Extraversion",0.618,0.039,-0.109,-0.07,0.026
"E9","Extraversion",0.653,0.027,-0.105,-0.05,0.103
"E10","Extraversion",0.684,-0.079,-0.018,0.014,-0.019
"N11","Neuroticism",-0.074,0.708,0.125,0.061,-0.055
"N12","Neuroticism",-0.064,0.559,0.013,0.101,-0.004
"N13","Neuroticism",-0.125,0.611,0.208,0.092,0.017
"N14","Neuroticism",-0.129,0.349,0.059,-0.069,0.092
"N15","Neuroticism",0.005,0.505,0.004,-0.029,-0.095
"N16","Neuroticism",0.027,0.746,0.031,0.005,-0.068
"N17","Neuroticism",0.077,0.719,-0.021,-0.091,0.008
"N18","Neuroticism",0.063,0.741,-0.035,-0.096,0.005
"N19","Neuroticism",0.055,0.719,-0.175,0.041,-0.017
"N20","Neuroticism",-0.219,0.574,0.017,-0.135,0.114
"A21","Agreeableness",-0.049,-0.056,0.499,-0.006,0.061
"A22","Agreeableness",0.282,-0.041,0.522,-0.04,0.06
"A23","Agreeableness",-0.18,-0.24,0.418,0.144,-0.071
"A24","Agreeableness",-0.055,0.033,0.807,-0.007,-0.004
"A25","Agreeableness",0.06,-0.027,0.661,-0.038,-0.002
"A26","Agreeableness",-0.063,0.131,0.618,0.001,-0.074
"A27","Agreeableness",0.225,-0.084,0.613,-0.035,0.015
"A28","Agreeableness",0.077,-0.014,0.559,0.061,0.001
"A29","Agreeableness",0.019,0.1,0.7,0.019,0.033
"A30","Agreeableness",0.26,-0.1,0.362,0.086,0.062
"C31","Conscientiousness",0.015,0,-0.032,0.648,0.091
"C32","Conscientiousness",-0.051,-0.035,-0.069,0.573,-0.105
"C33","Conscientiousness",-0.068,0.075,0.062,0.405,0.251
"C34","Conscientiousness",0.012,-0.279,-0.01,0.556,-0.003
"C35","Conscientiousness",0.073,0.009,-0.002,0.632,-0.079
"C36","Conscientiousness",-0.024,-0.088,-0.037,0.614,-0.043
"C37","Conscientiousness",-0.049,0.16,-0.004,0.581,0.04
"C38","Conscientiousness",0.006,-0.152,0.097,0.465,0.049
"C39","Conscientiousness",0.053,0.111,0.058,0.634,-0.054
"C40","Conscientiousness",0.002,0.052,0.009,0.456,0.249
"O41","Openness",-0.015,-0.011,-0.058,0.035,0.596
"O42","Openness",-0.068,-0.189,0.014,-0.03,0.579
"O43","Openness",-0.014,0.107,0.091,-0.099,0.545
"O44","Openness",-0.095,-0.109,0.114,-0.1,0.518
"O45","Openness",0.166,-0.027,-0.069,0.122,0.575
"O46","Openness",0.011,-0.032,0.091,-0.052,0.499
"O47","Openness",0.019,-0.115,-0.044,0.154,0.474
"O48","Openness",-0.006,0.076,-0.126,-0.024,0.564
"O49","Openness",-0.185,0.115,0.187,0.037,0.396
"O50","Openness",0.122,0.017,0.008,0,0.662
