"code","factor","MR3","MR2","MR5","MR4","MR1"
"E1","Extraversion",0.093,0.308,0.076,0.354,0.148
"E2","Extraversion",0.051,0.196,0.449,0.203,0.122
"E3","Extraversion",0.084,0.061,0.127,0.752,0.013
"E4","Extraversion",-0.001,0.546,0.206,0.161,0.008
"E5","Extraversion",0.037,0.205,0.117,0.385,0.257
"E6","Extraversion",0.093,0.175,0.432,0.065,0.19
"E7","Extraversion",0.005,0.11,0.12,0.509,0.182
"E8","Extraversion",0.062,0.22,0.57,0.169,-0.044
"E9","Extraversion",-0.001,0.232,0.225,0.45,0.066
"E10","Extraversion",0.094,0.034,0.408,0.39,0.014
"N11","Neuroticism",0.817,0.073,-0.001,0.013,0.023
"N12","Neuroticism",0.176,0.395,0.079,0.347,-0.093
"N13","Neuroticism",0.49,0.177,0.154,0.022,0.157
"N14","Neuroticism",0.297,0.17,0.319,0.141,0.022
"N15","Neuroticism",0.801,0.074,0.069,0.054,-0.042
"N16","Neuroticism",1.003,-0.02,0.01,-0.053,-0.029
"N17","Neuroticism",0.79,0.034,-0.009,0.058,0.053
"N18","Neuroticism",0.86,0.027,-0.087,0.019,0.029
"N19","Neuroticism",0.871,0.057,0.055,-0.071,-0.012
"N20","Neuroticism",0.574,0.086,0.104,0.096,0.082
"A21","Agreeableness",0.149,0.039,0.718,0.128,-0.043
"A22","Agreeableness",0.041,0.03,0.23,0.485,0.261
"A23","Agreeableness",0.267,0.193,0.146,0.211,0.113
"A24","Agreeableness",0.453,-0.082,0.069,0.425,0.141
"A25","Agreeableness",0.084,0,0.786,0.025,-0.031
"A26","Agreeableness",0.39,0.106,0.043,0.303,0.1
"A27","Agreeableness",-0.023,0.03,0.895,0.072,-0.029
"A28","Agreeableness",0.077,0.459,0.171,0.308,-0.026
"A29","Agreeableness",0.553,-0.158,0.073,0.39,0.119
"A30","Agreeableness",0.179,0.203,0.046,0.596,-0.001
"C31","Conscientiousness",0.05,0.626,-0.056,0.159,0.139
"C32","Conscientiousness",0.091,0.617,0.144,0.07,-0.029
"C33","Conscientiousness",0.064,0.566,0.041,0.091,0.233
"C34","Conscientiousness",0.354,0.503,0.081,-0.046,0.07
"C35","Conscientiousness",0.103,0.716,0.004,-0.001,0.05
"C36","Conscientiousness",0.207,0.566,0.125,-0.103,0.022
"C37","Conscientiousness",0.082,0.567,0.048,0.121,0.103
"C38","Conscientiousness",0.085,0.567,0.336,-0.094,-0.048
"C39","Conscientiousness",0.082,0.677,-0.034,0.093,0.066
"C40","Conscientiousness",0.074,0.605,0.046,-0.032,0.207
"O41","Openness",0.063,0.263,-0.034,0.222,0.45
"O42","Openness",0.244,-0.122,0.35,-0.095,0.563
"O43","Openness",0.181,0.155,-0.027,0.169,0.554
"O44","Openness",-0.045,0.071,0.615,-0.128,0.403
"O45","Openness",0.012,0.3,-0.036,0.126,0.582
"O46","Openness",0.155,-0.003,0.438,-0.093,0.437
"O47","Openness",0.22,0.205,-0.009,0.217,0.332
"O48","Openness",0.162,0.235,0.07,0.086,0.425
"O49","Openness",0.164,0.351,0.1,0.098,0.25
"O50","Openness",0.069,0.249,-0.024,0.15,0.606
